"line","timestamp","sensor","ppm","secondary_unit","secondary_value"
"117","","CO_HD","0.00","mg/m3","0.00"
"118","","NO2_HD","0.60","ug/m3","1.13"
"119","","O3_HD","0.2000","ug/m3","392.64"
"120","","SO2_HD","0.00","ug/m3","0.00"
"136","","CO_HD","0.00","mg/m3","0.00"
"137","","NO2_HD","0.50","ug/m3","0.94"
"138","","O3_HD","0.2000","ug/m3","392.64"
"139","","SO2_HD","0.00","ug/m3","0.00"
"155","","CO_HD","0.00","mg/m3","0.00"
"156","","NO2_HD","0.60","ug/m3","1.13"
"157","","O3_HD","0.2000","ug/m3","392.64"
"158","","SO2_HD","0.00","ug/m3","0.00"
"174","","CO_HD","0.00","mg/m3","0.00"
"175","","NO2_HD","0.60","ug/m3","1.13"
"176","","O3_HD","0.2000","ug/m3","392.64"
"177","","SO2_HD","0.00","ug/m3","0.00"
"193","","CO_HD","0.00","mg/m3","0.00"
"194","","NO2_HD","0.50","ug/m3","0.94"
"195","","O3_HD","0.1000","ug/m3","196.32"
"196","","SO2_HD","0.00","ug/m3","0.00"
"214","","CO_HD","0.00","mg/m3","0.00"
"215","","NO2_HD","0.50","ug/m3","0.94"
"217","","O3_HD","0.2000","ug/m3","392.64"
"218","","SO2_HD","0.00","ug/m3","0.00"
"234","","CO_HD","0.00","mg/m3","0.00"
"235","","NO2_HD","0.50","ug/m3","0.94"
"236","","O3_HD","0.2000","ug/m3","392.64"
"237","","SO2_HD","0.00","ug/m3","0.00"
"253","","CO_HD","0.00","mg/m3","0.00"
"254","","NO2_HD","0.50","ug/m3","0.94"
"255","","O3_HD","0.1000","ug/m3","196.32"
"256","","SO2_HD","0.00","ug/m3","0.00"
"272","","CO_HD","0.00","mg/m3","0.00"
"273","","NO2_HD","0.60","ug/m3","1.13"
"274","","O3_HD","0.2000","ug/m3","392.64"
"275","","SO2_HD","0.00","ug/m3","0.00"
"291","","CO_HD","0.00","mg/m3","0.00"
"292","","NO2_HD","0.50","ug/m3","0.94"
"293","","O3_HD","0.2000","ug/m3","392.64"
"294","","SO2_HD","0.00","ug/m3","0.00"
"313","","CO_HD","0.00","mg/m3","0.00"
"314","","NO2_HD","0.50","ug/m3","0.94"
"315","","O3_HD","0.2000","ug/m3","392.64"
"316","","SO2_HD","0.00","ug/m3","0.00"
"332","","CO_HD","0.00","mg/m3","0.00"
"333","","NO2_HD","0.50","ug/m3","0.94"
"334","","O3_HD","0.1000","ug/m3","196.32"
"335","","SO2_HD","0.00","ug/m3","0.00"
"351","","CO_HD","0.00","mg/m3","0.00"
"352","","NO2_HD","0.50","ug/m3","0.94"
"353","","O3_HD","0.2000","ug/m3","392.64"
"354","","SO2_HD","0.00","ug/m3","0.00"
"371","","CO_HD","0.00","mg/m3","0.00"
"372","","NO2_HD","0.60","ug/m3","1.13"
"373","","O3_HD","0.2000","ug/m3","392.64"
"374","","SO2_HD","0.00","ug/m3","0.00"
"390","","CO_HD","0.00","mg/m3","0.00"
"391","","NO2_HD","0.50","ug/m3","0.94"
"392","","O3_HD","0.2000","ug/m3","392.64"
"393","","SO2_HD","0.00","ug/m3","0.00"
"423","","CO_HD","0.00","mg/m3","0.00"
"424","","NO2_HD","0.50","ug/m3","0.94"
